P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.046575,0.036553,0.044271,-0.061354,0.020694,0.10409,0.16149,0.0092782,-0.086465,-0.041036,0.0032836,-0.0062671,-0.18474,0.056276,-0.090243,-0.032484,-0.028736,-0.13978,-0.050525,0.15487,0.11765,0.070644,0.011401,-0.0080475,0.0086288,-0.11092,0.042668,-0.00092536,-0.16299,0.063341,0.047689,-0.098143,-0.0607,-0.036498,-0.058633,0.057089,-0.014342,-0.038073,0.059265,0.040594,0.05942,-0.030957,-0.035828,0.16149,-0.12345,0.13819,0.093739,-0.018657,-0.10313,-0.037973,-0.028291,-0.038783,0.067618,-0.0086964,0.054537,0.057845,0.022842,0.020398,-0.086969,-0.079812,-0.082193,-0.034412,-0.065333,-0.040093,-0.056732,0.079685,0.10227,-0.0047501,0.0059882,0.063093,0.091624,0.015143
-0.082678,-0.015011,0.10587,-0.11445,0.03556,0.22258,0.32131,0.077783,0.018686,-0.16961,0.08304,0.014197,-0.34955,0.20042,-0.12418,-0.184,0.055225,-0.27611,-0.046358,0.20025,0.23055,0.16201,0.053991,-0.021314,-0.057322,-0.193,0.20359,0.056268,-0.34797,0.10428,0.1088,-0.13103,-0.092848,-0.037794,-0.14707,0.10933,-0.10816,-0.043524,0.074902,0.078343,0.05148,-0.11977,-0.082926,0.32131,-0.23793,0.25922,0.13701,-0.14213,-0.14279,-0.086763,-0.199,-0.06203,0.13666,-0.0070701,-0.045877,0.12318,-0.038302,0.063912,-0.14952,-0.23353,-0.11061,-0.012514,-0.15515,-0.063761,-0.063921,0.18839,0.211,0.10633,0.047529,0.066964,0.23958,0.13382
-0.074166,-0.1035,0.31942,-0.07587,-0.068557,0.34538,0.52405,0.097212,0.15043,-0.4116,0.18852,0.16733,-0.52157,0.43952,-0.12678,-0.35571,0.038731,-0.41288,-0.14702,0.22622,0.39413,0.38345,0.039751,-0.030636,-0.039567,-0.28558,0.2542,0.17348,-0.62665,0.24348,0.19226,-0.25682,-0.045943,-0.058455,-0.2307,0.14533,-0.23347,-0.15877,0.049663,0.12687,0.01134,-0.20252,-0.20162,0.52405,-0.29561,0.36041,0.13641,-0.22682,-0.14371,-0.054959,-0.35284,0.062893,0.17784,-0.08851,-0.10178,0.2128,-0.16088,0.10289,-0.25102,-0.34202,-0.11603,0.0023399,-0.3008,-0.052924,-0.10344,0.3276,0.1877,0.1561,0.15259,0.039637,0.37632,0.1743
-0.17364,-0.2572,0.53611,0.032386,-0.28369,0.41965,0.69926,0.053512,0.30764,-0.6741,0.38832,0.30675,-0.72963,0.62741,-0.16503,-0.634,0.084296,-0.59308,-0.18522,0.39032,0.56723,0.64722,0.00034503,-0.1535,0.030309,-0.49965,0.23721,0.1748,-0.87566,0.35414,0.24442,-0.34879,-0.093265,0.1077,-0.22731,0.27157,-0.30294,-0.2103,-0.047516,0.26417,-0.049555,-0.3357,-0.34335,0.69926,-0.44069,0.55372,0.17492,-0.3349,-0.23461,0.014618,-0.53488,0.095163,0.15547,-0.10412,-0.16599,0.28268,-0.30598,0.082796,-0.34422,-0.36516,-0.01183,0.0030178,-0.43805,-0.10628,-0.12607,0.59321,0.079673,0.11942,0.22275,-0.08952,0.50123,0.11048
-0.2738,-0.50424,0.86635,0.031124,-0.41923,0.35255,0.98787,-0.10133,0.51067,-0.91394,0.52489,0.45588,-0.85887,0.91425,-0.22332,-0.96354,0.11913,-0.85353,-0.14542,0.41966,0.71104,0.89494,-0.020152,-0.21607,0.13419,-0.61375,0.36181,0.14985,-1.1788,0.50053,0.24384,-0.57112,-0.11392,0.23609,-0.31256,0.38047,-0.33637,-0.14336,-0.025533,0.33982,-0.09725,-0.37981,-0.55373,0.98787,-0.45537,0.75474,0.20411,-0.54465,-0.26915,0.049199,-0.69548,0.032801,0.14119,-0.218,-0.24907,0.31411,-0.41831,0.11531,-0.59516,-0.32935,0.16078,0.054287,-0.6148,-0.14259,-0.14923,0.89987,-0.031916,0.12453,0.10384,-0.056541,0.60863,-0.079112
-0.39563,-0.67009,1.1224,0.051913,-0.62848,0.21919,1.3343,-0.30001,0.7088,-1.2359,0.76844,0.55541,-1.0448,1.2321,-0.26924,-1.3681,0.14286,-0.92048,-0.092101,0.31767,0.98775,1.1267,-0.06977,-0.2741,0.24542,-0.89422,0.41126,0.29478,-1.415,0.66595,0.28623,-0.73579,-0.0889,0.35294,-0.23225,0.48898,-0.31338,0.01402,0.042407,0.43618,-0.1828,-0.3888,-0.7069,1.3343,-0.43149,0.92415,0.29662,-0.73975,-0.28242,-0.042704,-0.79073,0.018208,0.13115,-0.33406,-0.39231,0.27679,-0.46859,0.28774,-0.81789,-0.31554,0.34446,0.11567,-0.83994,-0.20001,-0.12943,1.2116,-0.18624,0.21428,0.059967,0.0023926,0.66416,-0.26436
-0.46472,-0.84677,1.5043,0.083744,-0.8632,0.0091302,1.6145,-0.53941,0.88117,-1.4609,0.87673,0.52377,-1.2316,1.49,-0.38849,-1.7443,0.16547,-0.92974,-0.1356,0.095647,1.2928,1.3093,-0.055015,-0.30321,0.37732,-1.0408,0.44386,0.44731,-1.62,0.89167,0.32993,-0.7935,0.028997,0.5331,-0.086178,0.66639,-0.2805,0.23175,0.12048,0.4699,-0.30315,-0.46595,-0.80808,1.6145,-0.40689,1.154,0.42176,-1.0088,-0.34839,-0.19953,-0.82801,-0.019008,0.16127,-0.56399,-0.44258,0.20657,-0.6035,0.50366,-1.0975,-0.23519,0.41406,0.017001,-1.0624,-0.31015,-0.10338,1.5382,-0.31625,0.38647,0.054465,0.08505,0.63171,-0.37415
-0.57871,-1.0456,1.8915,0.042934,-1.0561,-0.087877,1.8741,-0.78264,1.036,-1.6174,1.0557,0.39519,-1.5192,1.7242,-0.45028,-1.9205,0.20667,-0.89675,-0.32323,-0.071302,1.6045,1.4947,-0.017685,-0.30857,0.40597,-1.21,0.4559,0.55993,-1.9221,1.0439,0.42445,-0.91609,0.16846,0.62888,0.021917,0.86926,-0.19914,0.36392,0.096046,0.51802,-0.46455,-0.42674,-0.95694,1.8741,-0.36282,1.4455,0.48412,-1.3684,-0.42979,-0.40414,-0.78781,-0.21155,0.23261,-0.73055,-0.3619,0.15782,-0.62698,0.66163,-1.5092,-0.11123,0.54297,-0.10425,-1.3558,-0.41403,-0.043965,1.7937,-0.35154,0.62162,0.22752,0.2714,0.42122,-0.39184
-0.72143,-1.194,2.2011,-0.057665,-1.2302,-0.18969,2.2313,-1.0843,1.2111,-1.7661,1.1627,0.26872,-1.7908,1.9658,-0.52532,-2.1046,0.3422,-0.74243,-0.44512,-0.27552,1.997,1.7578,-0.040679,-0.37203,0.41238,-1.3569,0.48791,0.65852,-2.2148,1.2464,0.53118,-0.91663,0.33101,0.81109,0.20354,1.0903,-0.026837,0.53973,0.051375,0.57474,-0.62178,-0.24751,-1.2047,2.2313,-0.38611,1.7427,0.54277,-1.6252,-0.46576,-0.56811,-0.66419,-0.36474,0.26321,-0.95826,-0.31273,0.21291,-0.79256,0.78875,-1.9349,0.063012,0.74767,-0.2807,-1.6657,-0.45865,-0.079687,1.9959,-0.53724,0.85154,0.31176,0.39583,0.17834,-0.54034
