P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72
0.19845,-0.33832,-0.43621,0.40075,0.075118,-0.29788,0.7899,-0.15437,0.32408,-0.61391,0.039948,0.10733,0.20917,0.092698,0.0069239,-0.1267,0.017014,-0.0062524,-0.25715,0.17116,0.081448,0.11472,0.00034166,-0.29921,0.00082883,0.17861,-0.21236,0.3122,-0.042206,0.14809,-0.20603,0.072939,-0.23919,-0.21317,-0.42904,0.14342,-0.35379,0.0059887,-0.091752,-0.28464,0.16128,0.57089,0.28309,-0.089144,-0.54187,0.41055,-0.17342,-0.33291,0.11165,0.63259,0.043908,0.26043,-0.27727,-0.38706,-0.029488,-0.27849,-0.13698,0.047781,-0.15767,0.36265,-0.36678,-0.18164,-0.14987,-0.095054,0.2867,0.60721,-0.19045,-0.59417,0.50147,0.11042,-0.41347,-0.17121
-0.18177,-0.30033,0.66632,-0.46296,0.20832,0.11162,0.23254,0.34397,0.32162,-0.15164,-0.57308,0.070818,0.084536,-0.51621,0.36807,-0.36205,-0.5777,0.27989,0.25074,-0.5205,0.64933,0.10668,0.00079845,-0.21951,-0.34968,-0.15746,-0.0074713,0.13936,-0.27887,-0.58894,0.30291,0.26466,-0.64819,-0.25734,0.25724,0.36284,0.48117,0.30323,-0.21372,-0.026335,0.11847,0.13214,0.48596,-0.11659,-0.034115,-0.22688,0.1967,-0.095784,0.32653,0.011149,-0.17461,0.39181,0.24773,-0.36329,-0.16407,-0.28016,0.010628,-0.066112,0.4503,-0.23476,0.084877,-0.50701,0.11232,0.12598,-0.12289,-0.20307,-0.081039,-0.15205,0.20157,0.088453,-0.32312,-0.29834
-0.1614,-0.19444,0.13921,0.0079128,0.20674,-0.82419,-0.048442,-0.028959,0.39279,-0.13642,0.27479,0.21202,0.21109,-0.17595,0.10898,0.082235,0.18776,0.2046,0.31013,-0.27167,0.80516,-0.40439,0.047037,0.19482,-0.22311,0.20412,-0.35624,0.28317,0.012528,-0.087066,-0.026482,0.0035447,-0.17283,0.24457,0.72112,0.16995,0.63524,0.21673,-0.49846,0.39274,-0.22397,-0.34243,-0.0062054,0.2002,0.45096,0.08666,0.30163,-0.098222,-0.60211,0.44568,-0.34732,-0.41971,0.19697,-0.10031,-0.38236,0.026215,0.26143,-0.30565,0.19706,-0.22633,0.49688,0.44494,0.19538,0.13763,0.54538,0.11831,-0.073115,-0.13594,-0.56253,-0.078871,-0.10342,0.28006
-0.29144,0.46993,-0.21405,-0.41461,0.36515,-0.65875,0.41753,0.44791,0.53706,-0.36903,0.63059,0.18468,-0.3639,-0.29378,-0.29321,0.32312,0.76541,-0.23425,0.16463,-0.19192,0.10417,-0.09394,-0.075032,0.40468,-0.055273,0.47911,-0.073439,-0.31483,0.29741,-0.25425,0.41745,0.19188,-0.7958,-0.22161,0.17388,0.072036,0.60013,0.16666,-0.82117,0.30715,-0.21587,0.20137,0.14823,-0.56612,-0.24628,0.217,-0.53779,-0.30068,-0.2561,0.31399,-0.38298,0.63659,0.59322,0.53795,-0.17506,0.52932,0.010872,0.61798,0.19272,0.14305,-0.47089,-0.48876,0.19992,-0.13465,-0.024968,0.55264,0.1588,-0.40031,-0.34125,-0.15006,0.15229,0.50709
-0.24555,0.48946,-0.50348,0.11558,-0.32251,-0.13789,0.3225,0.31436,0.91972,-0.092386,-0.21777,1.0886,-0.72957,0.082896,0.67957,0.24009,-0.020541,-0.32214,0.031165,-0.83956,0.624,0.16596,-0.34904,0.037863,-0.3379,0.93383,0.44047,-0.2837,0.34632,-0.065066,0.92514,0.2489,-0.56933,0.073237,-0.014025,0.89703,0.56749,0.11528,-0.51698,-0.13469,0.038331,-0.14759,-0.24673,-0.31428,-0.35837,0.59214,-0.52836,-0.21828,-0.35319,0.097341,-0.6577,0.89769,0.058132,-0.31445,-0.85706,0.20082,0.22231,-0.016818,0.41985,0.28633,0.22519,-0.70443,0.25022,-0.022377,0.34949,0.29918,-0.12641,-0.21928,-0.33402,-0.35235,-0.41769,-0.028626
-0.52157,0.26955,-0.15364,0.095144,-0.71715,-0.21426,0.24116,0.65598,0.61064,0.32525,0.37661,0.58782,-0.98975,-0.16017,0.62458,0.19183,-0.054226,0.70096,0.20024,-0.57037,-0.17196,0.42049,-0.47938,-0.15281,-0.74186,1.1761,0.28812,-0.42134,0.31021,0.13587,1.0544,-0.29176,-0.021489,-0.17869,0.56326,1.2469,0.80329,0.01579,0.16909,-0.79067,0.095118,0.40522,-0.31173,-0.11497,-1.2419,0.76521,-0.72237,-0.86417,-0.73483,0.68466,-0.12104,0.66863,1.0644,-0.05389,-1.4753,-0.4703,-0.29328,-0.51303,-0.19149,0.97583,0.13936,0.16465,0.2799,-0.35961,0.38445,-0.52652,-0.85613,-0.36259,-0.28138,-0.24211,-0.0348,-0.35693
-0.41836,0.1502,-0.046259,-0.057883,0.31787,-0.42517,1.4339,0.4784,0.86828,0.061528,-0.41678,0.77672,-1.0545,-0.24707,0.30122,0.18937,0.55119,0.20049,0.67207,-0.68914,0.44669,0.90201,-1.3428,-0.12926,-0.61242,1.3331,0.10051,0.30705,0.10534,0.80486,1.1979,0.86404,-0.64039,-0.37893,0.64642,1.0215,1.2373,0.20414,-0.41409,-0.072683,0.78453,1.0222,-0.3963,-0.80024,-1.8021,1.1464,-1.0577,-0.56434,-1.5559,0.82191,-0.34807,1.1199,0.53655,-0.27789,-0.98701,-0.39159,-0.4449,-0.33713,0.2156,0.40128,0.23485,-0.64579,0.049227,-1.0184,0.081411,0.64642,-0.75269,-0.077173,-0.85717,-0.36151,-0.42333,-0.11093
-0.45772,0.6648,-0.86763,-0.58043,0.41801,-0.41622,1.1225,0.73856,0.70149,0.36631,0.40247,0.61369,-0.72553,-0.59376,0.50701,-0.29822,0.36486,0.12891,-0.051766,-1.2692,0.60872,0.28935,-1.164,0.3289,-0.23193,0.99691,1.2166,-0.93932,0.027031,0.62964,1.0603,-0.11561,-0.03965,0.060229,0.55419,1.1022,2.3468,0.67344,-0.92658,0.45904,0.90592,1.0268,-0.51459,-0.44852,-2.1184,1.5198,-0.95918,-0.52936,-1.1891,0.50146,-0.63618,1.2697,1.2899,-0.58583,-1.3528,-0.439,0.083529,-0.22979,0.56367,0.94571,-0.15839,-0.32282,-0.061989,-0.54332,0.7163,0.54969,-1.2358,-0.26602,-1.3562,-0.48985,0.050895,0.3219
-0.73337,-0.16585,-0.45504,-1.2943,-0.11714,0.012211,2.0539,0.28962,0.57573,0.4851,-0.65848,1.1428,-1.1711,0.16675,0.30281,0.21186,0.57636,0.31944,0.28613,-1.7072,0.59197,0.16354,-0.95483,0.77494,-0.44056,1.5966,1.7845,-0.89938,0.91056,0.85759,1.2573,0.04703,-0.28043,0.1548,0.050446,0.78195,3.1162,0.84693,-0.82485,-0.35554,0.38719,0.86989,-0.048308,-0.5296,-2.4659,1.5319,-1.5232,-0.44206,-1.5202,0.97237,-0.8257,1.7203,1.7964,-0.73052,-0.96701,-0.41998,0.13119,-0.49321,-0.061206,1.168,0.42491,-0.85178,1.022,-0.67661,1.1637,0.34995,-1.1605,-0.34,-1.7526,0.083841,-0.11745,0.41428
-0.64987,0.80388,-0.41872,-0.77822,0.55552,-0.15896,2.0915,0.29457,0.50572,0.83086,-0.64426,1.2146,-1.3896,-0.51452,1.1303,0.032726,0.11768,-0.3468,0.45704,-0.93728,0.62009,-0.56104,-1.0469,0.35586,-0.45723,1.6693,1.6636,-1.077,1.9703,1.2854,1.284,-0.27132,0.38429,0.42532,0.38346,-0.26014,3.7026,1.1047,-0.12777,0.32145,0.5522,1.1524,-0.5858,-1.0834,-2.3791,1.7084,-1.6639,-0.0014768,-2.2971,2.2177,-0.39947,2.3751,2.267,-0.47384,-1.425,-0.52491,-0.098997,-0.86664,0.44795,0.40881,0.95272,-0.55509,0.45226,-0.82189,1.431,0.92588,-0.71699,0.29406,-1.5061,0.87496,-0.50778,1.0026
0.18307,0.8516,-0.608,-1.7064,0.29281,-0.57099,2.2417,0.98128,1.3633,0.76425,-0.04641,1.3915,-0.71477,-1.0223,0.74576,0.6202,0.38487,-0.37217,1.2041,-2.1122,0.54594,0.17335,-2.0094,0.58676,-1.1913,1.8586,1.4166,0.052133,0.74907,1.8009,1.3033,-0.55265,0.31815,0.26207,-0.11649,0.21564,4.1285,0.85944,-0.68285,0.3475,0.47843,1.3117,-0.94642,-0.57754,-2.6999,1.8558,-1.4647,-0.63645,-2.1726,2.4327,-0.51323,1.5713,1.5658,-0.95204,-1.9987,-0.38185,1.0636,-0.46407,0.19969,0.68141,1.5236,-0.52905,0.14184,-0.62484,1.2757,0.68319,-1.7369,-0.39959,-2.4537,0.2783,-0.26638,0.69359
-0.0584,0.58706,-1.2124,-1.2851,0.70784,-1.0575,2.9164,0.1748,1.5421,0.36618,-1.0578,2.0363,-1.0916,-0.6338,0.31226,0.44599,0.021062,-0.9537,0.69844,-1.4613,0.99843,-0.04644,-1.4294,1.2532,-1.4196,1.7204,1.5174,-0.71674,1.804,2.1239,1.4981,-1.1463,0.075818,-0.26171,-0.8568,0.21729,4.6052,1.9925,-0.41394,0.83541,0.64902,1.1688,-0.26038,-0.5592,-3.52,3.0007,-2.0488,-0.47536,-2.249,2.6725,-0.97671,2.1636,2.2657,-2.4894,-1.2256,-1.0107,0.5862,-0.13572,0.065411,0.94442,1.5449,-0.23856,0.38882,-0.85469,2.1539,1.0611,-0.98804,-0.48457,-1.969,1.4005,-0.89186,0.53624
