P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.13239,0.24382,0.25902,0.196,0.18822,0.43579,0.062569,-0.38318,0.27732,0.052709,-0.16944,-0.17705,0.090871,0.31795,-0.054578,0.43012,0.32619,2.1739,-0.47406,0.2606,0.25644,0.54288,-0.065327,-0.042528,-0.26195,0.032547,-0.55633,0.25663,0.23573,-0.0093237,0.021425,0.1232,0.019228,0.15427,0.20285,0.06435,-0.24207,-0.054065,-0.16713,-0.031391,0.71086,0.18113,0.056708,-0.29623,0.10107,-0.11933,0.50733,0.1792,0.62897,0.15734,-0.3421,0.084341,-0.096546,0.4901,-0.099199,0.31575,-0.056016,-0.46156,-0.14156,-0.13318,0.27667,0.069599,-0.60046,-0.020927,0.29396,0.08935,0.10775,-0.091973,-0.04213,0.22317,0.41483,0.051477
0.016825,0.19601,-0.025576,0.057767,-0.153,0.26342,0.3687,0.39588,-0.16786,-0.47221,0.31434,-0.6197,-0.28989,-0.81539,-0.055232,-0.25508,-0.040551,-0.48955,0.17943,0.55911,0.078271,0.53316,-0.018955,-0.097081,-0.36223,-0.12347,0.011876,-0.13477,-0.026247,0.044781,0.10988,-0.069599,-0.019275,0.15212,-0.064045,0.80688,0.012019,-0.054065,0.028977,0.34302,0.43082,0.26106,-0.18961,-0.28293,0.10107,-0.11933,0.2404,0.45537,-0.92824,-0.1705,-0.02803,0.22752,-0.47519,-0.018917,0.25039,0.17574,-0.081976,0.18128,0.12257,-0.023976,-0.057673,-0.019,0.30177,-0.39404,0.6177,-0.0095009,0.08935,0.081942,-0.19276,0.21967,-0.059836,0.44059
-0.07841,-0.13052,0.068353,-0.094282,-0.041643,0.19876,0.52929,-0.063743,-0.16554,-0.25659,-0.0097796,0.13542,-0.52724,0.2474,-0.087157,-0.50497,0.24612,-0.23442,0.32778,0.23202,0.36579,0.34673,0.13542,-0.026184,-0.044525,-0.36717,0.46681,0.070637,-0.56709,0.35429,0.21614,0.054578,-0.028632,-0.040551,-0.26396,0.10513,-0.27209,-0.054065,0.17198,0.071836,0.019091,-0.35769,-0.22806,0.40898,-0.29744,0.45334,0.23708,-0.29262,-0.81906,-0.1705,-0.32974,-0.19693,0.76093,-0.2091,-0.53921,0.021223,-0.21158,0.18964,0.12257,-0.39295,0.15709,-0.11119,-0.17412,0.018431,0.14089,0.086117,0.090876,-0.054838,0.088709,-0.20909,0.36879,0.44896
0.034628,-0.43191,0.4172,-0.14123,-0.12048,0.48052,0.79716,0.10832,0.17902,-0.82305,0.15648,0.57824,-0.60747,0.36575,-0.099188,-0.28738,0.036216,-0.17065,-0.29953,0.11933,0.77708,0.73829,0.066411,-0.090017,0.25118,-0.46149,0.94973,0.2836,-0.93597,0.41485,0.35601,-0.32101,-0.091973,-0.14457,-0.33579,0.10349,-0.54122,-0.10807,0.011682,-0.33667,0.52007,-0.19974,-0.24963,0.61884,-0.60266,0.30878,0.4762,-0.016508,-0.29885,0.028428,-0.80358,0.042729,0.24863,-0.2408,-0.18302,0.27044,-0.36461,0.7854,-0.22411,-0.39516,-0.11543,0.014353,-1.1356,0.32389,-0.50354,0.42307,0.23564,0.20305,0.39898,-0.41106,0.588,-0.060024
-0.22769,-0.69773,0.94585,-0.071477,-0.46908,0.58216,0.64062,0.33435,0.23472,-1.0764,0.23974,0.32253,-0.73828,1.3056,-0.099188,-0.8228,0.30092,-0.49859,-0.50849,0.38832,0.61228,1.0055,0.056945,-0.11962,0.20665,-0.58411,0.19694,0.44124,-1.2727,0.52773,0.23508,-0.7114,-0.14805,0.26396,-0.28118,0.39479,-0.54438,-0.3466,0.011682,0.3172,-0.06333,-0.43258,-0.48912,0.84907,-0.97085,0.63977,0.1733,-0.31423,0.078597,0.14854,-0.69943,0.14865,0.3778,-0.22484,-0.38277,0.46678,-0.45496,0.7854,-0.38007,-0.48727,-0.12495,0.076406,-0.66268,-0.48612,0.19551,0.42405,0.21426,0.3066,0.35627,-0.12494,0.26171,0.12585
-0.29375,-0.89195,0.77776,0.052209,-0.58599,0.25012,1.0461,-0.15623,0.74542,-1.2294,0.45943,0.56599,-0.96065,0.85245,-0.067368,-1.2498,0.11119,-0.84823,-0.011961,0.72487,0.82021,1.2603,-0.095403,-0.33579,0.30705,-0.68007,0.48162,0.084953,-1.5684,0.67584,0.3402,-0.52209,-0.13127,0.33152,-0.35877,0.65863,-0.27797,-0.18448,0.011682,0.0099747,0.032009,-0.49841,-0.53042,0.96186,-0.4488,1.1669,0.11766,-0.90162,-0.28255,0.28592,-1.0191,0.30061,0.15723,-0.46695,-0.45936,0.19694,-0.18405,0.30141,-0.70503,-0.21477,0.018821,0.16985,-1.5266,-0.1419,0.38263,0.88199,-0.1832,0.30743,0.14053,-0.30528,0.47531,-0.23341
-0.34076,-1.063,1.1198,-0.058618,-0.85397,0.25012,1.5875,-0.61614,0.81987,-1.4797,1.2755,0.64972,-1.2759,1.2388,-0.094728,-1.8011,0.24845,-0.9971,-0.10832,0.41068,0.9383,1.327,-0.095403,-0.20687,0.34521,-0.92446,0.30979,0.21543,-1.7807,0.59648,0.48568,-1.0889,0.0048192,0.44778,-0.53961,0.65863,-0.56215,0.25234,0.032929,0.3443,-0.014117,-0.6567,-0.7461,1.3176,-0.91684,1.2653,0.33667,-1.1113,-0.41146,-0.026247,-0.64796,0.083937,0.05184,-0.20811,-0.53632,0.077856,-0.57064,0.29904,-1.1769,-0.20638,0.4329,0.27402,-1.2667,-0.22305,0.62932,1.441,-0.19695,0.10488,0.057767,0.17169,0.88109,-0.35019
-0.41774,-1.1394,1.6304,-0.091906,-0.99847,0.034133,2.1198,-0.89793,1.0352,-1.7612,1.3743,0.81549,-1.644,1.4818,-0.33075,-2.1712,0.074382,-0.90765,-0.29884,0.17308,1.4594,1.5212,-0.095403,-0.26521,0.50396,-1.295,0.39137,0.52098,-1.8643,1.0163,0.59258,-0.3599,0.055232,0.80376,-0.022932,0.74802,-0.29146,0.31297,0.17899,0.59201,-0.20069,-0.57861,-0.80068,1.9605,-0.42565,1.2676,0.56564,-1.3813,-0.39242,-0.33206,-1.0041,-0.13847,0.13114,-0.57019,-0.097541,0.18679,-0.71301,0.47434,-1.6042,-0.47764,0.56963,0.016626,-1.037,-0.40298,0.80223,1.6461,-0.26666,0.37386,-0.043346,0.023919,0.99374,-0.52791
-0.56457,-1.3281,2.2692,0.12939,-1.2078,-0.16944,2.3914,-0.58601,1.2384,-2.0114,1.0901,0.45139,-2.1445,2.1088,-0.59201,-1.8283,-0.18285,-0.87672,-0.62163,0.0070754,1.9464,1.7379,0.057353,-0.28873,0.49841,-1.4693,0.53677,0.81349,-2.1226,0.9898,0.48302,-1.4206,0.16165,0.55655,-0.022984,0.93617,-0.10086,0.47078,0.17899,0.40489,-0.49174,-0.29192,-0.97969,2.1693,-0.99333,1.8205,0.81529,-1.6547,-0.48912,-0.42038,-0.80961,-0.3627,0.30553,-0.86454,-0.43847,0.29505,-0.71301,0.74341,-2.0057,-0.062419,0.64776,-0.14427,-1.4639,-0.40616,-0.29973,1.7772,-0.27044,0.85045,0.26731,0.4138,0.4755,-0.57658
